Register Address;UnitName;UnitId;FunctionGroup;FunctionNumber;DatapointId;DatapointName;Type;TypeName;Decimal;FunctionGroup name;Function name;Steps;Min. value;Max. value;Writable;unit;Commentary;Text 0;Text 1;Text 2;Text 3;Text 4;Text 5;Text 6;Text 7;Text 8;Text 9;Text 10;Text 11;Text 12;Text 13;Text 14;Text 15;Text 16;Text 17;Text 18;Text 19;Text 20;Text 21;Text 22;Text 23;Text 24;Text 25;Text 26;Text 27;Text 28;Text 29;Text 30;Text 31
23542;HV;513;50;0;37602;Temperatur Abluft;1;S16;1;Lüftung;Lüftung;1;0;500;No;°C;Temperatur Abluft (Gemessene Lufttemperatur beim Eintritt der Abluft in das Gerät);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23543;HV;513;50;0;38600;Ventilator Fortluft soll;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;"Luftmenge Ist (ergibt sich aus ""Luftmenge soll"", ""Feuchte soll"", ""Feuchte ist"", ""VOC Abluft"", ""VOC Aussenluft"", ""Temperatur Aussenluft"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23544;HV;514;50;0;40650;Betriebswahl Lüftung;1;LIST;0;Lüftung;Lüftung;1;0x00000037;0;Yes;;Betriebswahl Lüftung (z.B. Woche 1 / 2, Konstant, Standby);Standby;Woche 1;Woche 2;;Konstantbetrieb, Sollwert 40651;Sparbetrieb, Sollwert DAP40686;;;;;;;;;;;;;;;;;;;;;;;;;;
23545;HV;514;50;0;40651;Normal-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;"Normal-Lüftungsmodulation (Luftmenge bei ""Konstant""-Betrieb)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23546;HV;514;50;0;40686;Spar-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;Spar-Lüftungsmodulation (Luftmenge bei Sparbetrieb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23547;HV;514;50;0;38606;Lüftungsmodulation;1;U8;0;Lüftung;Lüftung;1;15;100;No;%;Luftmenge Soll (Vorgebene Luftmenge, ergibt sich aus Betriebsart und Einstellung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23548;HV;514;50;0;40687;Feuchte Sollwert;1;U8;0;Lüftung;Lüftung;1;30;65;Yes;%;Feuchte Sollwert (Am Bediengerät eingestellte maximale rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23549;HV;514;50;0;37600;Feuchtigkeit Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;Feuchtigkeit Abluft (gemessene rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23550;HV;514;50;0;37608;VOC Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Abluft (gemessener VOC-Wert in der Abluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23551;HV;514;50;0;37611;VOC Aussenluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Aussenluft (gemessener VOC-Wert in der Aussenluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23552;HV;514;50;0;39600;Luftqualität Regulierung;1;LIST;0;Lüftung;Lüftung;1;0x00000003;0;Yes;;Luftqualität Regulierung (Statusangabe ob Luftqualitätsregelung eingeschaltet ist);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23553;HV;514;50;0;39652;Status Lüftungsregelung;1;U8;0;Lüftung;Lüftung;1;0;0;No;;Status Lüftungsregelung (Zahlencode der Auskunft über den Status des Lüftungsgerätes gibt);Aus, z.B. Standbybetrieb;Normaler Lüftungsbetrieb;VOC Modus aktiv;Feuchtigkeitsmodus aktiv;Frostschutz aktiv;CoolVet aktiv;Fehlerzustand;Sommerfeuchte;Ausschaltstop;;;;;;;;;;;;;;;;;;;;;;;
23554;HV;514;50;0;0;Temperatur Aussenluft;1;S16;1;Lüftung;Lüftung;1;-300;500;No;°C;Temperatur Aussenluft (Gemessene Lufttemperatur beim Eintritt der Aussenluft in das Gerät, kann von der effektiven Aussenlufttemp.  abweichen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23555;HV;514;50;0;37602;Temperatur Abluft;1;S16;1;Lüftung;Lüftung;1;0;500;No;°C;Temperatur Abluft (Gemessene Lufttemperatur beim Eintritt der Abluft in das Gerät);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23556;HV;514;50;0;38600;Ventilator Fortluft soll;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;"Luftmenge Ist (ergibt sich aus ""Luftmenge soll"", ""Feuchte soll"", ""Feuchte ist"", ""VOC Abluft"", ""VOC Aussenluft"", ""Temperatur Aussenluft"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23557;HV;515;50;0;40650;Betriebswahl Lüftung;1;LIST;0;Lüftung;Lüftung;1;0x00000037;0;Yes;;Betriebswahl Lüftung (z.B. Woche 1 / 2, Konstant, Standby);Standby;Woche 1;Woche 2;;Konstantbetrieb, Sollwert 40651;Sparbetrieb, Sollwert DAP40686;;;;;;;;;;;;;;;;;;;;;;;;;;
23558;HV;515;50;0;40651;Normal-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;"Normal-Lüftungsmodulation (Luftmenge bei ""Konstant""-Betrieb)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23559;HV;515;50;0;40686;Spar-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;Spar-Lüftungsmodulation (Luftmenge bei Sparbetrieb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23560;HV;515;50;0;38606;Lüftungsmodulation;1;U8;0;Lüftung;Lüftung;1;15;100;No;%;Luftmenge Soll (Vorgebene Luftmenge, ergibt sich aus Betriebsart und Einstellung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23561;HV;515;50;0;40687;Feuchte Sollwert;1;U8;0;Lüftung;Lüftung;1;30;65;Yes;%;Feuchte Sollwert (Am Bediengerät eingestellte maximale rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23562;HV;515;50;0;37600;Feuchtigkeit Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;Feuchtigkeit Abluft (gemessene rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23563;HV;515;50;0;37608;VOC Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Abluft (gemessener VOC-Wert in der Abluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23564;HV;515;50;0;37611;VOC Aussenluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Aussenluft (gemessener VOC-Wert in der Aussenluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23565;HV;515;50;0;39600;Luftqualität Regulierung;1;LIST;0;Lüftung;Lüftung;1;0x00000003;0;Yes;;Luftqualität Regulierung (Statusangabe ob Luftqualitätsregelung eingeschaltet ist);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23566;HV;515;50;0;39652;Status Lüftungsregelung;1;U8;0;Lüftung;Lüftung;1;0;0;No;;Status Lüftungsregelung (Zahlencode der Auskunft über den Status des Lüftungsgerätes gibt);Aus, z.B. Standbybetrieb;Normaler Lüftungsbetrieb;VOC Modus aktiv;Feuchtigkeitsmodus aktiv;Frostschutz aktiv;CoolVet aktiv;Fehlerzustand;Sommerfeuchte;Ausschaltstop;;;;;;;;;;;;;;;;;;;;;;;
23567;HV;515;50;0;0;Temperatur Aussenluft;1;S16;1;Lüftung;Lüftung;1;-300;500;No;°C;Temperatur Aussenluft (Gemessene Lufttemperatur beim Eintritt der Aussenluft in das Gerät, kann von der effektiven Aussenlufttemp.  abweichen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23568;HV;515;50;0;37602;Temperatur Abluft;1;S16;1;Lüftung;Lüftung;1;0;500;No;°C;Temperatur Abluft (Gemessene Lufttemperatur beim Eintritt der Abluft in das Gerät);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23569;HV;515;50;0;38600;Ventilator Fortluft soll;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;"Luftmenge Ist (ergibt sich aus ""Luftmenge soll"", ""Feuchte soll"", ""Feuchte ist"", ""VOC Abluft"", ""VOC Aussenluft"", ""Temperatur Aussenluft"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23570;HV;516;50;0;40650;Betriebswahl Lüftung;1;LIST;0;Lüftung;Lüftung;1;0x00000037;0;Yes;;Betriebswahl Lüftung (z.B. Woche 1 / 2, Konstant, Standby);Standby;Woche 1;Woche 2;;Konstantbetrieb, Sollwert 40651;Sparbetrieb, Sollwert DAP40686;;;;;;;;;;;;;;;;;;;;;;;;;;
23571;HV;516;50;0;40651;Normal-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;"Normal-Lüftungsmodulation (Luftmenge bei ""Konstant""-Betrieb)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23572;HV;516;50;0;40686;Spar-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;Spar-Lüftungsmodulation (Luftmenge bei Sparbetrieb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23573;HV;516;50;0;38606;Lüftungsmodulation;1;U8;0;Lüftung;Lüftung;1;15;100;No;%;Luftmenge Soll (Vorgebene Luftmenge, ergibt sich aus Betriebsart und Einstellung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23574;HV;516;50;0;40687;Feuchte Sollwert;1;U8;0;Lüftung;Lüftung;1;30;65;Yes;%;Feuchte Sollwert (Am Bediengerät eingestellte maximale rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23575;HV;516;50;0;37600;Feuchtigkeit Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;Feuchtigkeit Abluft (gemessene rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23576;HV;516;50;0;37608;VOC Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Abluft (gemessener VOC-Wert in der Abluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23577;HV;516;50;0;37611;VOC Aussenluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Aussenluft (gemessener VOC-Wert in der Aussenluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23578;HV;516;50;0;39600;Luftqualität Regulierung;1;LIST;0;Lüftung;Lüftung;1;0x00000003;0;Yes;;Luftqualität Regulierung (Statusangabe ob Luftqualitätsregelung eingeschaltet ist);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23579;HV;516;50;0;39652;Status Lüftungsregelung;1;U8;0;Lüftung;Lüftung;1;0;0;No;;Status Lüftungsregelung (Zahlencode der Auskunft über den Status des Lüftungsgerätes gibt);Aus, z.B. Standbybetrieb;Normaler Lüftungsbetrieb;VOC Modus aktiv;Feuchtigkeitsmodus aktiv;Frostschutz aktiv;CoolVet aktiv;Fehlerzustand;Sommerfeuchte;Ausschaltstop;;;;;;;;;;;;;;;;;;;;;;;
23580;HV;516;50;0;0;Temperatur Aussenluft;1;S16;1;Lüftung;Lüftung;1;-300;500;No;°C;Temperatur Aussenluft (Gemessene Lufttemperatur beim Eintritt der Aussenluft in das Gerät, kann von der effektiven Aussenlufttemp.  abweichen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23581;HV;516;50;0;37602;Temperatur Abluft;1;S16;1;Lüftung;Lüftung;1;0;500;No;°C;Temperatur Abluft (Gemessene Lufttemperatur beim Eintritt der Abluft in das Gerät);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23582;HV;516;50;0;38600;Ventilator Fortluft soll;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;"Luftmenge Ist (ergibt sich aus ""Luftmenge soll"", ""Feuchte soll"", ""Feuchte ist"", ""VOC Abluft"", ""VOC Aussenluft"", ""Temperatur Aussenluft"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23583;HV;517;50;0;40650;Betriebswahl Lüftung;1;LIST;0;Lüftung;Lüftung;1;0x00000037;0;Yes;;Betriebswahl Lüftung (z.B. Woche 1 / 2, Konstant, Standby);Standby;Woche 1;Woche 2;;Konstantbetrieb, Sollwert 40651;Sparbetrieb, Sollwert DAP40686;;;;;;;;;;;;;;;;;;;;;;;;;;
23584;HV;517;50;0;40651;Normal-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;"Normal-Lüftungsmodulation (Luftmenge bei ""Konstant""-Betrieb)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23585;HV;517;50;0;40686;Spar-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;Spar-Lüftungsmodulation (Luftmenge bei Sparbetrieb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23586;HV;517;50;0;38606;Lüftungsmodulation;1;U8;0;Lüftung;Lüftung;1;15;100;No;%;Luftmenge Soll (Vorgebene Luftmenge, ergibt sich aus Betriebsart und Einstellung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23587;HV;517;50;0;40687;Feuchte Sollwert;1;U8;0;Lüftung;Lüftung;1;30;65;Yes;%;Feuchte Sollwert (Am Bediengerät eingestellte maximale rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23588;HV;517;50;0;37600;Feuchtigkeit Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;Feuchtigkeit Abluft (gemessene rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23589;HV;517;50;0;37608;VOC Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Abluft (gemessener VOC-Wert in der Abluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23590;HV;517;50;0;37611;VOC Aussenluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Aussenluft (gemessener VOC-Wert in der Aussenluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23591;HV;517;50;0;39600;Luftqualität Regulierung;1;LIST;0;Lüftung;Lüftung;1;0x00000003;0;Yes;;Luftqualität Regulierung (Statusangabe ob Luftqualitätsregelung eingeschaltet ist);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23592;HV;517;50;0;39652;Status Lüftungsregelung;1;U8;0;Lüftung;Lüftung;1;0;0;No;;Status Lüftungsregelung (Zahlencode der Auskunft über den Status des Lüftungsgerätes gibt);Aus, z.B. Standbybetrieb;Normaler Lüftungsbetrieb;VOC Modus aktiv;Feuchtigkeitsmodus aktiv;Frostschutz aktiv;CoolVet aktiv;Fehlerzustand;Sommerfeuchte;Ausschaltstop;;;;;;;;;;;;;;;;;;;;;;;
23593;HV;517;50;0;0;Temperatur Aussenluft;1;S16;1;Lüftung;Lüftung;1;-300;500;No;°C;Temperatur Aussenluft (Gemessene Lufttemperatur beim Eintritt der Aussenluft in das Gerät, kann von der effektiven Aussenlufttemp.  abweichen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23594;HV;517;50;0;37602;Temperatur Abluft;1;S16;1;Lüftung;Lüftung;1;0;500;No;°C;Temperatur Abluft (Gemessene Lufttemperatur beim Eintritt der Abluft in das Gerät);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23595;HV;517;50;0;38600;Ventilator Fortluft soll;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;"Luftmenge Ist (ergibt sich aus ""Luftmenge soll"", ""Feuchte soll"", ""Feuchte ist"", ""VOC Abluft"", ""VOC Aussenluft"", ""Temperatur Aussenluft"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23596;HV;518;50;0;40650;Betriebswahl Lüftung;1;LIST;0;Lüftung;Lüftung;1;0x00000037;0;Yes;;Betriebswahl Lüftung (z.B. Woche 1 / 2, Konstant, Standby);Standby;Woche 1;Woche 2;;Konstantbetrieb, Sollwert 40651;Sparbetrieb, Sollwert DAP40686;;;;;;;;;;;;;;;;;;;;;;;;;;
23597;HV;518;50;0;40651;Normal-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;"Normal-Lüftungsmodulation (Luftmenge bei ""Konstant""-Betrieb)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23598;HV;518;50;0;40686;Spar-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;Spar-Lüftungsmodulation (Luftmenge bei Sparbetrieb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23599;HV;518;50;0;38606;Lüftungsmodulation;1;U8;0;Lüftung;Lüftung;1;15;100;No;%;Luftmenge Soll (Vorgebene Luftmenge, ergibt sich aus Betriebsart und Einstellung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23600;HV;518;50;0;40687;Feuchte Sollwert;1;U8;0;Lüftung;Lüftung;1;30;65;Yes;%;Feuchte Sollwert (Am Bediengerät eingestellte maximale rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23601;HV;518;50;0;37600;Feuchtigkeit Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;Feuchtigkeit Abluft (gemessene rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23602;HV;518;50;0;37608;VOC Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Abluft (gemessener VOC-Wert in der Abluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23603;HV;518;50;0;37611;VOC Aussenluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Aussenluft (gemessener VOC-Wert in der Aussenluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23604;HV;518;50;0;39600;Luftqualität Regulierung;1;LIST;0;Lüftung;Lüftung;1;0x00000003;0;Yes;;Luftqualität Regulierung (Statusangabe ob Luftqualitätsregelung eingeschaltet ist);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23605;HV;518;50;0;39652;Status Lüftungsregelung;1;U8;0;Lüftung;Lüftung;1;0;0;No;;Status Lüftungsregelung (Zahlencode der Auskunft über den Status des Lüftungsgerätes gibt);Aus, z.B. Standbybetrieb;Normaler Lüftungsbetrieb;VOC Modus aktiv;Feuchtigkeitsmodus aktiv;Frostschutz aktiv;CoolVet aktiv;Fehlerzustand;Sommerfeuchte;Ausschaltstop;;;;;;;;;;;;;;;;;;;;;;;
23606;HV;518;50;0;0;Temperatur Aussenluft;1;S16;1;Lüftung;Lüftung;1;-300;500;No;°C;Temperatur Aussenluft (Gemessene Lufttemperatur beim Eintritt der Aussenluft in das Gerät, kann von der effektiven Aussenlufttemp.  abweichen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23607;HV;518;50;0;37602;Temperatur Abluft;1;S16;1;Lüftung;Lüftung;1;0;500;No;°C;Temperatur Abluft (Gemessene Lufttemperatur beim Eintritt der Abluft in das Gerät);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23608;HV;518;50;0;38600;Ventilator Fortluft soll;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;"Luftmenge Ist (ergibt sich aus ""Luftmenge soll"", ""Feuchte soll"", ""Feuchte ist"", ""VOC Abluft"", ""VOC Aussenluft"", ""Temperatur Aussenluft"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23609;HV;519;50;0;40650;Betriebswahl Lüftung;1;LIST;0;Lüftung;Lüftung;1;0x00000037;0;Yes;;Betriebswahl Lüftung (z.B. Woche 1 / 2, Konstant, Standby);Standby;Woche 1;Woche 2;;Konstantbetrieb, Sollwert 40651;Sparbetrieb, Sollwert DAP40686;;;;;;;;;;;;;;;;;;;;;;;;;;
23610;HV;519;50;0;40651;Normal-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;"Normal-Lüftungsmodulation (Luftmenge bei ""Konstant""-Betrieb)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23611;HV;519;50;0;40686;Spar-Lüftungsmodulation ;1;U8;0;Lüftung;Lüftung;1;15;100;Yes;%;Spar-Lüftungsmodulation (Luftmenge bei Sparbetrieb);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23612;HV;519;50;0;38606;Lüftungsmodulation;1;U8;0;Lüftung;Lüftung;1;15;100;No;%;Luftmenge Soll (Vorgebene Luftmenge, ergibt sich aus Betriebsart und Einstellung);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23613;HV;519;50;0;40687;Feuchte Sollwert;1;U8;0;Lüftung;Lüftung;1;30;65;Yes;%;Feuchte Sollwert (Am Bediengerät eingestellte maximale rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23614;HV;519;50;0;37600;Feuchtigkeit Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;Feuchtigkeit Abluft (gemessene rel. Luftfeuchte);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23615;HV;519;50;0;37608;VOC Abluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Abluft (gemessener VOC-Wert in der Abluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23616;HV;519;50;0;37611;VOC Aussenluft;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;VOC Aussenluft (gemessener VOC-Wert in der Aussenluft (CO2-Äquivalent);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23617;HV;519;50;0;39600;Luftqualität Regulierung;1;LIST;0;Lüftung;Lüftung;1;0x00000003;0;Yes;;Luftqualität Regulierung (Statusangabe ob Luftqualitätsregelung eingeschaltet ist);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23618;HV;519;50;0;39652;Status Lüftungsregelung;1;U8;0;Lüftung;Lüftung;1;0;0;No;;Status Lüftungsregelung (Zahlencode der Auskunft über den Status des Lüftungsgerätes gibt);Aus, z.B. Standbybetrieb;Normaler Lüftungsbetrieb;VOC Modus aktiv;Feuchtigkeitsmodus aktiv;Frostschutz aktiv;CoolVet aktiv;Fehlerzustand;Sommerfeuchte;Ausschaltstop;;;;;;;;;;;;;;;;;;;;;;;
23619;HV;519;50;0;0;Temperatur Aussenluft;1;S16;1;Lüftung;Lüftung;1;-300;500;No;°C;Temperatur Aussenluft (Gemessene Lufttemperatur beim Eintritt der Aussenluft in das Gerät, kann von der effektiven Aussenlufttemp.  abweichen);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23620;HV;519;50;0;37602;Temperatur Abluft;1;S16;1;Lüftung;Lüftung;1;0;500;No;°C;Temperatur Abluft (Gemessene Lufttemperatur beim Eintritt der Abluft in das Gerät);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23621;HV;519;50;0;38600;Ventilator Fortluft soll;1;U8;0;Lüftung;Lüftung;1;0;100;No;%;"Luftmenge Ist (ergibt sich aus ""Luftmenge soll"", ""Feuchte soll"", ""Feuchte ist"", ""VOC Abluft"", ""VOC Aussenluft"", ""Temperatur Aussenluft"")";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
